"cts","date","GPS (Lat.) [deg]","GPS (Long.) [deg]","GPS (Alt.) [m]","GPS (2D speed) [m/s]","GPS (3D speed) [m/s]","fix","precision"
0.000000, 2023-08-13T20:00:23.544Z, 50.078010, -122.951228, 1678.603000, 0.074000, 0.100000, 3, 355
58.882353, 2023-08-13T20:00:23.602Z, 50.078010, -122.951229, 1678.587000, 0.085000, 0.110000, 3, 355
117.764706, 2023-08-13T20:00:23.661Z, 50.078010, -122.951229, 1678.550000, 0.036000, 0.120000, 3, 355
176.647059, 2023-08-13T20:00:23.720Z, 50.078011, -122.951230, 1678.535000, 0.131000, 0.090000, 3, 355
235.529412, 2023-08-13T20:00:23.779Z, 50.078011, -122.951230, 1678.567000, 0.116000, 0.150000, 3, 355
294.411765, 2023-08-13T20:00:23.838Z, 50.078011, -122.951229, 1678.567000, 0.104000, 0.150000, 3, 355
353.294118, 2023-08-13T20:00:23.897Z, 50.078011, -122.951230, 1678.532000, 0.104000, 0.140000, 3, 355
412.176471, 2023-08-13T20:00:23.956Z, 50.078011, -122.951230, 1678.522000, 0.136000, 0.130000, 3, 355
471.058824, 2023-08-13T20:00:24.015Z, 50.078011, -122.951231, 1678.483000, 0.119000, 0.160000, 3, 355
529.941176, 2023-08-13T20:00:24.073Z, 50.078011, -122.951231, 1678.453000, 0.137000, 0.140000, 3, 355
588.823529, 2023-08-13T20:00:24.132Z, 50.078011, -122.951232, 1678.420000, 0.107000, 0.160000, 3, 355
647.705882, 2023-08-13T20:00:24.191Z, 50.078011, -122.951233, 1678.395000, 0.087000, 0.140000, 3, 355
706.588235, 2023-08-13T20:00:24.250Z, 50.078011, -122.951234, 1678.358000, 0.116000, 0.120000, 3, 355
765.470588, 2023-08-13T20:00:24.309Z, 50.078011, -122.951234, 1678.317000, 0.113000, 0.150000, 3, 355
824.352941, 2023-08-13T20:00:24.368Z, 50.078011, -122.951235, 1678.273000, 0.112000, 0.150000, 3, 355
883.235294, 2023-08-13T20:00:24.427Z, 50.078011, -122.951237, 1678.213000, 0.157000, 0.150000, 3, 355
942.117647, 2023-08-13T20:00:24.486Z, 50.078011, -122.951237, 1678.161000, 0.152000, 0.180000, 3, 355
1001.000000, 2023-08-13T20:00:25.799Z, 50.078011, -122.951238, 1678.117000, 0.155000, 0.180000, 3, 362
1053.684211, 2023-08-13T20:00:25.851Z, 50.078011, -122.951239, 1678.061000, 0.158000, 0.180000, 3, 362
1106.368421, 2023-08-13T20:00:25.904Z, 50.078011, -122.951240, 1678.034000, 0.131000, 0.180000, 3, 362
