"cts","date","GPS (Lat.) [deg]","GPS (Long.) [deg]","GPS (Alt.) [m]","GPS (2D speed) [m/s]","GPS (3D speed) [m/s]","fix","precision"
0.000000, 2025-11-10T01:47:51.899Z, 42.291754, -71.262334, 242.158000, 0.317000, 0.370000, 3, 3950
55.611111, 2025-11-10T01:47:51.954Z, 42.291752, -71.262334, 242.727000, 0.319000, 0.320000, 3, 3950
111.222222, 2025-11-10T01:47:52.010Z, 42.291750, -71.262334, 243.362000, 0.245000, 0.320000, 3, 3950
166.833333, 2025-11-10T01:47:52.065Z, 42.291748, -71.262334, 243.978000, 0.230000, 0.240000, 3, 3950
222.444444, 2025-11-10T01:47:52.121Z, 42.291746, -71.262334, 244.605000, 0.248000, 0.230000, 3, 3950
278.055556, 2025-11-10T01:47:52.177Z, 42.291744, -71.262334, 245.333000, 0.258000, 0.250000, 3, 3950
333.666667, 2025-11-10T01:47:52.232Z, 42.291742, -71.262334, 246.054000, 0.230000, 0.260000, 3, 3950
389.277778, 2025-11-10T01:47:52.288Z, 42.291739, -71.262334, 246.846000, 0.225000, 0.230000, 3, 3950
444.888889, 2025-11-10T01:47:52.343Z, 42.291737, -71.262334, 247.551000, 0.210000, 0.230000, 3, 3950
500.500000, 2025-11-10T01:47:52.399Z, 42.291736, -71.262334, 248.066000, 0.209000, 0.210000, 3, 3950
556.111111, 2025-11-10T01:47:52.455Z, 42.291734, -71.262334, 248.743000, 0.200000, 0.210000, 3, 3950
611.722222, 2025-11-10T01:47:52.510Z, 42.291732, -71.262335, 249.305000, 0.186000, 0.200000, 3, 3950
667.333333, 2025-11-10T01:47:52.566Z, 42.291731, -71.262335, 249.868000, 0.178000, 0.190000, 3, 3950
722.944444, 2025-11-10T01:47:52.621Z, 42.291729, -71.262336, 250.442000, 0.175000, 0.180000, 3, 3950
778.555556, 2025-11-10T01:47:52.677Z, 42.291728, -71.262336, 251.088000, 0.165000, 0.170000, 3, 3950
834.166667, 2025-11-10T01:47:52.733Z, 42.291726, -71.262337, 251.770000, 0.157000, 0.170000, 3, 3950
889.777778, 2025-11-10T01:47:52.788Z, 42.291724, -71.262337, 252.455000, 0.147000, 0.160000, 3, 3950
945.388889, 2025-11-10T01:47:52.844Z, 42.291722, -71.262338, 253.162000, 0.114000, 0.150000, 3, 3950
1001.000000, 2025-11-10T01:47:54.264Z, 42.291720, -71.262339, 253.872000, 0.134000, 0.110000, 3, 339
1056.611111, 2025-11-10T01:47:54.319Z, 42.291719, -71.262339, 254.565000, 0.146000, 0.130000, 3, 339
1112.222222, 2025-11-10T01:47:54.375Z, 42.291717, -71.262340, 255.251000, 0.113000, 0.150000, 3, 339
1167.833333, 2025-11-10T01:47:54.430Z, 42.291715, -71.262341, 255.937000, 0.125000, 0.110000, 3, 339
1223.444444, 2025-11-10T01:47:54.486Z, 42.291713, -71.262342, 256.636000, 0.098000, 0.130000, 3, 339
1279.055556, 2025-11-10T01:47:54.542Z, 42.291712, -71.262342, 257.111000, 0.112000, 0.100000, 3, 339
1334.666667, 2025-11-10T01:47:54.597Z, 42.291711, -71.262343, 257.585000, 0.115000, 0.110000, 3, 339
1390.277778, 2025-11-10T01:47:54.653Z, 42.291710, -71.262344, 258.035000, 0.135000, 0.110000, 3, 339
1445.888889, 2025-11-10T01:47:54.708Z, 42.291709, -71.262344, 258.417000, 0.100000, 0.130000, 3, 339
1501.500000, 2025-11-10T01:47:54.764Z, 42.292031, -71.262339, 159.577000, 0.141000, 0.100000, 3, 339
1557.111111, 2025-11-10T01:47:54.820Z, 42.292134, -71.262338, 128.181000, 0.218000, 0.140000, 3, 339
1612.722222, 2025-11-10T01:47:54.875Z, 42.292184, -71.262338, 112.829000, 0.375000, 0.220000, 3, 339
1668.333333, 2025-11-10T01:47:54.931Z, 42.292213, -71.262338, 103.767000, 0.271000, 0.370000, 3, 339
1723.944444, 2025-11-10T01:47:54.986Z, 42.292233, -71.262338, 97.715000, 0.122000, 0.270000, 3, 339
1779.555556, 2025-11-10T01:47:55.042Z, 42.292248, -71.262340, 93.376000, 0.256000, 0.120000, 3, 339
1835.166667, 2025-11-10T01:47:55.098Z, 42.292260, -71.262343, 90.138000, 0.525000, 0.260000, 3, 339
1890.777778, 2025-11-10T01:47:55.153Z, 42.292268, -71.262344, 87.634000, 0.637000, 0.520000, 3, 339
1946.388889, 2025-11-10T01:47:55.209Z, 42.292276, -71.262345, 85.618000, 0.544000, 0.640000, 3, 339
2002.000000, 2025-11-10T01:47:55.254Z, 42.292282, -71.262346, 83.962000, 0.451000, 0.540000, 3, 339
2057.611111, 2025-11-10T01:47:55.309Z, 42.292287, -71.262347, 82.573000, 0.392000, 0.450000, 3, 339
2113.222222, 2025-11-10T01:47:55.365Z, 42.292294, -71.262351, 80.958000, 0.550000, 0.390000, 3, 339
2168.833333, 2025-11-10T01:47:55.420Z, 42.292301, -71.262354, 79.589000, 0.502000, 0.550000, 3, 339
2224.444444, 2025-11-10T01:47:55.476Z, 42.292306, -71.262357, 78.384000, 0.459000, 0.500000, 3, 339
2280.055556, 2025-11-10T01:47:55.532Z, 42.292311, -71.262360, 77.317000, 0.565000, 0.460000, 3, 339
