"cts","date","GPS (Lat.) [deg]","GPS (Long.) [deg]","GPS (Alt.) [m]","GPS (2D speed) [m/s]","GPS (3D speed) [m/s]","fix","precision"
0.000000, 2025-11-11T21:09:20.195Z, 42.291976, -71.262683, 48.719000, 0.136000, 0.090000, 3, 208
55.611111, 2025-11-11T21:09:20.250Z, 42.291977, -71.262684, 48.731000, 0.038000, 0.140000, 3, 208
111.222222, 2025-11-11T21:09:20.306Z, 42.291977, -71.262684, 48.718000, 0.020000, 0.040000, 3, 208
166.833333, 2025-11-11T21:09:20.361Z, 42.291977, -71.262683, 48.709000, 0.170000, 0.030000, 3, 208
222.444444, 2025-11-11T21:09:20.417Z, 42.291977, -71.262683, 48.705000, 0.197000, 0.170000, 3, 208
278.055556, 2025-11-11T21:09:20.473Z, 42.291978, -71.262683, 48.684000, 0.196000, 0.200000, 3, 208
333.666667, 2025-11-11T21:09:20.528Z, 42.291978, -71.262683, 48.672000, 0.170000, 0.200000, 3, 208
389.277778, 2025-11-11T21:09:20.584Z, 42.291978, -71.262683, 48.685000, 0.155000, 0.170000, 3, 208
444.888889, 2025-11-11T21:09:20.639Z, 42.291978, -71.262683, 48.685000, 0.157000, 0.160000, 3, 208
500.500000, 2025-11-11T21:09:20.695Z, 42.291978, -71.262683, 48.680000, 0.164000, 0.160000, 3, 208
556.111111, 2025-11-11T21:09:20.751Z, 42.291978, -71.262683, 48.677000, 0.215000, 0.170000, 3, 208
611.722222, 2025-11-11T21:09:20.806Z, 42.291979, -71.262683, 48.698000, 0.279000, 0.220000, 3, 208
667.333333, 2025-11-11T21:09:20.862Z, 42.291979, -71.262684, 48.691000, 0.384000, 0.280000, 3, 208
722.944444, 2025-11-11T21:09:20.917Z, 42.291979, -71.262684, 48.692000, 0.369000, 0.390000, 3, 208
778.555556, 2025-11-11T21:09:20.973Z, 42.291979, -71.262683, 48.685000, 0.286000, 0.370000, 3, 208
834.166667, 2025-11-11T21:09:21.029Z, 42.291979, -71.262682, 48.700000, 0.314000, 0.290000, 3, 208
889.777778, 2025-11-11T21:09:21.084Z, 42.291978, -71.262682, 48.679000, 0.383000, 0.320000, 3, 208
945.388889, 2025-11-11T21:09:21.140Z, 42.291978, -71.262682, 48.683000, 0.276000, 0.390000, 3, 208
1001.000000, 2025-11-11T21:09:22.505Z, 42.291978, -71.262683, 48.666000, 0.093000, 0.280000, 3, 208
1056.611111, 2025-11-11T21:09:22.560Z, 42.291979, -71.262684, 48.654000, 0.190000, 0.100000, 3, 208
1112.222222, 2025-11-11T21:09:22.616Z, 42.291979, -71.262684, 48.644000, 0.190000, 0.200000, 3, 208
1167.833333, 2025-11-11T21:09:22.671Z, 42.291978, -71.262683, 48.708000, 0.069000, 0.200000, 3, 208
1223.444444, 2025-11-11T21:09:22.727Z, 42.291978, -71.262683, 48.746000, 0.091000, 0.080000, 3, 208
1279.055556, 2025-11-11T21:09:22.783Z, 42.291978, -71.262683, 48.734000, 0.120000, 0.100000, 3, 208
1334.666667, 2025-11-11T21:09:22.838Z, 42.291978, -71.262684, 48.656000, 0.152000, 0.120000, 3, 208
1390.277778, 2025-11-11T21:09:22.894Z, 42.291978, -71.262684, 48.674000, 0.134000, 0.160000, 3, 208
1445.888889, 2025-11-11T21:09:22.949Z, 42.291979, -71.262683, 48.661000, 0.080000, 0.140000, 3, 208
1501.500000, 2025-11-11T21:09:23.005Z, 42.291979, -71.262683, 48.676000, 0.070000, 0.100000, 3, 208
1557.111111, 2025-11-11T21:09:23.061Z, 42.291980, -71.262682, 48.706000, 0.239000, 0.090000, 3, 208
1612.722222, 2025-11-11T21:09:23.116Z, 42.291979, -71.262683, 48.728000, 0.116000, 0.240000, 3, 208
1668.333333, 2025-11-11T21:09:23.172Z, 42.291979, -71.262683, 48.770000, 0.070000, 0.120000, 3, 208
1723.944444, 2025-11-11T21:09:23.227Z, 42.291979, -71.262683, 48.724000, 0.074000, 0.080000, 3, 208
1779.555556, 2025-11-11T21:09:23.283Z, 42.291979, -71.262682, 48.712000, 0.147000, 0.080000, 3, 208
1835.166667, 2025-11-11T21:09:23.339Z, 42.291979, -71.262682, 48.704000, 0.149000, 0.150000, 3, 208
1890.777778, 2025-11-11T21:09:23.394Z, 42.291980, -71.262682, 48.697000, 0.154000, 0.160000, 3, 208
1946.388889, 2025-11-11T21:09:23.450Z, 42.291980, -71.262682, 48.691000, 0.204000, 0.160000, 3, 208
2002.000000, 2025-11-11T21:09:23.550Z, 42.291980, -71.262682, 48.688000, 0.207000, 0.210000, 3, 208
2057.611111, 2025-11-11T21:09:23.605Z, 42.291980, -71.262682, 48.695000, 0.241000, 0.210000, 3, 208
2113.222222, 2025-11-11T21:09:23.661Z, 42.291980, -71.262682, 48.669000, 0.213000, 0.250000, 3, 208
2168.833333, 2025-11-11T21:09:23.716Z, 42.291981, -71.262682, 48.675000, 0.220000, 0.220000, 3, 208
2224.444444, 2025-11-11T21:09:23.772Z, 42.291981, -71.262682, 48.606000, 0.280000, 0.230000, 3, 208
